manufacturer,reports,deaths
pfizer-biontech,124938,0
adt booster (diphtheria toxoid; tetanus toxoid),126,0
boostrix (diphtheria toxoid; pertactin; pertussis filamentous haemagglutinin; pertussis toxoid; tetanus toxoid),843,0
adacel (diphtheria toxoid; pertactin; pertussis filamentous haemagglutinin; pertussis fimbriae 2 + 3; pertussis toxoid; tetanus toxoid),443,0
arexvy (recombinant respiratory syncytial virus pre-fusion f protein),158,0
afluria quad (influenza virus haemagglutinin),675,0
acular (ketorolac trometamol),3,0
avaxim (hepatitis a virus antigen),42,0
abrysvo (recombinant respiratory syncytial virus pre-fusion f protein water for injections),219,0
bepoten (bepotastine besilate),2,0
brintellix (vortioxetine hydrobromide),26,0
brilinta (ticagrelor),42,0
bexsero (neisseria meningitidis group b factor h binding protein fusion protein; neisseria meningitidis group b neisseria adhesin a protein; neisseria meningitidis group b neisseria heparin binding antigen fusion protein; neisseria meningitidis serogroup b outer membrane vesicles),1593,0
act-hib (haemophilus type b polysaccharide; tetanus protein),1038,0
targin (naloxone hydrochloride dihydrate; oxycodone hydrochloride),50,0
arimidex (anastrozole),13,0
advantan fatty ointment (methylprednisolone aceponate),8,0
avanza (mirtazapine),7,0
ajovy (fremanezumab),178,0
buvidal weekly (buprenorphine),29,0
botox (botulinim toxin type a) - interaction,1,0
advil (ibuprofen),5,0
augmentin duo forte (amoxicillin trihydrate; potassium clavulanate) - interaction,1,0
amlodipine sandoz (amlodipine),9,0
apo-propranolol (propranolol hydrochloride),10,0
astrazeneca,6493,0
moderna,22638,0
fluad quad (influenza virus haemagglutinin),1419,0
pneumovax 23 (23vppv) (pneumococcal purified capsular polysaccharides),5859,0
fluquadri vaccine (influenza virus haemagglutinin),924,0
prolia (denosumab),642,0
covid-19 vaccine (tns) (covid-19 vaccine (type not specified)),396,0
mobic (meloxicam),8,0
prevenar 13 (13vpcv) (pneumococcal purified capsular polysaccharides),3182,0
palexia (tapentadol),33,0
influenza vaccine (tns) (influenza virus haemagglutinin),273,0
influvac tetra (influenza virus haemagglutinin),116,0
jynneos (live modified vaccinia ankara-bavarian nordic (mva-bn)),401,0
fluarix tetra vaccine (influenza virus haemagglutinin),272,0
panadol (paracetamol),25,0
donnatab (hyoscyamine sulfate dihydrate),3,0
novavax,1020,0
panadol optizorb (paracetamol),4,0
flucelvax quad (influenza virus haemagglutinin),159,0
eleuphrat (betamethasone dipropionate),9,0
ferinject (ferric carboxymaltose),637,0
pristiq (desvenlafaxine),36,0
centrum advance 50+ (ascorbic acid; betacarotene; biotin; calcium carbonate; calcium hydrogen phosphate; calcium pantothenate; chromic chloride hexahydrate; colecalciferol; cupric sulfate; cyanocobalamin; dl-alpha-tocopheryl acetate; ferrous fumarate; folic acid; lutein; lycopene; magnesium oxide; manganese sulfate monohydrate; nicotinamide; phytomenadione; potassium iodide; potassium sulfate; pyridoxine hydrochloride; retinol acetate; riboflavin; sodium selenate; thiamine nitrate; zinc oxide),3,0
trade name not specified (amitriptyline),107,0
trade name not specified (paracetamol),167,0
alburex 5 au (albumin),25,0
trade name not specified (sulfamethoxazole; trimethoprim),66,0
trade name not specified (tocilizumab),64,0
flumist (influenza virus),91,0
trade name not specified (tofersen),3,0
enhertu (trastuzumab deruxtecan),213,0
zilbrysq (zilucoplan tetrasodium),13,0
trade name not specified (shingles vaccine (type not specified)),620,0
flucelvax (influenza virus haemagglutinin),32,0
trade name not specified (pemetrexed),22,0
perjeta (pertuzumab),15,0
dupixent (dupilumab),186,0
trade name not specified (aspirin),150,0
xolair (omalizumab),49,0
opdivo (nivolumab),178,0
trade name not specified (ciprofloxacin hydrochloride),94,0
omnipaque 350 (iohexol),934,0
trade name not specified (alfentanil hydrochloride),19,0
trade name not specified (contrast media),100,0
implanon nxt (etonogestrel),159,0
trade name not specified (ferric carboxymaltose),270,0
pluvicto (lutetium (177lu) vipivotide tetraxetan),5,0
trade name not specified (basiliximab),42,0
trade name not specified (fentanyl),117,0
dotarem (gadoteric acid),108,0
trade name not specified (secukinumab),16,0
paxlovid (nirmatrelvir; ritonavir),285,0
vaxigrip (influenza virus haemagglutinin),39,0
shingrix (recombinant varicella zoster virus glycoprotein e antigen),2760,0
flopen viatris 500 (flucloxacillin sodium monohydrate),2,0
swisse ultivite men's 50+ multivitamin (aust l 380937) (ascorbic acid; astragalus membranaceus; bacopa monnieri; biotin; calcium citrate tetrahydrate; calcium pantothenate; chromium picolinate; colecalciferol; copper gluconate; curcuma longa; cyanocobalamin; cynara scolymus; d-alpha-tocopheryl acid succinate; ferrous fumarate; folic acid; ginkgo biloba; heavy magnesium oxide; lutein; lycopersicon esculentum; manganese amino acid chelate; molybdenum trioxide; nicotinamide; potassium iodide; potassium sulfate; pyridoxine hydrochloride; retinol acetate; riboflavin; selenomethionine; serenoa repens; silybum marianum; spearmint oil; thiamine hydrochloride; tribulus terrestris; ubidecarenone; vaccinium macrocarpon; vaccinium myrtillus; vitis vinifera; zinc sulfate monohydrate; zingiber officinale),3,0
trade name not specified (cefazolin sodium),663,0
trade name not specified (amoxycillin; clavulanic acid),79,0
trade name not specified (dabigatran etexilate mesilate),16,0
trade name not specified (rituximab),137,0
trade name not specified (ferric derisomaltose),45,0
cefazolin-aft (cefazolin sodium),21,0
measles mumps rubella vaccine (tns) (measles virus; mumps virus; rubella virus),48,0
trade name not specified (nivolumab),243,0
trade name not specified (ceftriaxone),317,0
augmentin (amoxicillin trihydrate; potassium clavulanate),86,0
cosentyx (secukinumab),240,0
wegovy (nos) (semaglutide),46,0
trade name not specified (propofol),36,0
trade name not specified (tapentadol),96,0
trade name not specified (memantine hydrochloride),4,0
trade name not specified (donanemab),14,0
trade name not specified (paclitaxel),384,0
omnipaque (iohexol),1117,0
radicava 30 mg/20 ml (edaravone),6,0
trade name not specified (nifedipine),25,0
risvan (risperidone),5,0
kyleena (levonorgestrel),68,0
